,ID_CLEAN,DESCRIPTION,Comments,ISSUED_DATE,EXPIRATION_DATE,Property_ID
71,1809855002.0,Other,Stop &; Shop / Walgreens -; To Amend;Permit ;ALT69015 by filing;revised Structural drawings for;BRA approved  ;free standing sign.;,3/8/12 11:38,9/8/12 0:00,156433.0
83,2205268030.0,Addition,Substitute the orginalBLE Smoke Curtain w/alternative Stobich smoke curtain.(filed mfg spec sheet and spec manual page as an as-built in doc room.,2/29/12 8:51,8/29/12 0:00,39647.0
84,2205268040.0,Addition,Substitute the orginalBLE Smoke Curtain w/alternative Stobich smoke curtain.(filed mfg spec sheet and spec manual page as an as-built in doc room.,2/29/12 8:51,8/29/12 0:00,39647.0
93,700540020.0,Solar Panels,Correction to structural ballast for dead-load;on roof for photovoltaic system.,2/27/12 10:01,8/27/12 0:00,341817.0
94,700540020.0,Solar Panels,Correction to ballast for roof mounted photovoltaic system.,2/27/12 10:44,8/27/12 0:00,341812.0
104,600695000.0,Erect,Amend plans to the existing permit #ERT70819  to include a new Roof Deck accessed;via spiral stairs and skylight window hatch.;;;,4/12/12 14:59,10/12/12 0:00,138503.0
109,1102219001.0,Solar Panels,Installation of 9.6kW solar array and related components Amend longform 1847/2008,6/12/12 10:00,12/12/12 0:00,165762.0
124,400444000.0,Renovations - Exterior,Construction of New Roof Deck with an Operable skylight roof hatch for roof access. Reference Permit # ALT100729 Reference Landmarks approved application # 12.648 SE,5/22/12 11:20,11/22/12 0:00,22308.0
195,1102158000.0,Other,reinforce existing foof truss and skylight openings.,6/13/12 14:40,12/13/12 0:00,341029.0
250,801385000.0,Interior/Exterior Work,Install sheetrock around existing ducts as per drawings.Add fire dampers  all as compliance alternative as per architects letter. Add beams as per structural drawings where bearing walls exist.,10/17/12 8:50,4/17/13 0:00,102338.0
414,2101478000.0,Solar Panels,Amend Permit ERT106175/2012 To Installation of a 31.2kW roof mounted solar electric system on a new construction multi family building. Consists of 130- 240 watt solar panels roof mounted conneected to 1- 10kW and 2- 7.5kW inverters and an AC disconnect switch located on exterior side of trash/compactor wall. Per Plan,1/28/13 14:42,7/28/13 0:00,19432.0
429,602654000.0,Renovations -Interior  NSC,To Amend Permit ALT45184 to alter the fire sprinkler coverage adjacent to and above elevator equipment in compliance with 780 CMR 903.2 Exception 4. The purpose is to reduce the likelihood of the fire sprinklers discharging water onto the elevator equipment. The amendment will maintain coverage for the remainder of the Atrium floor area  the elevator zone in which no sprinklers are allowed (Sketches C and D  and annotated drawings A2.4 and A2.5). Attached sketches SKFP-003 and SKFP-004 show the proposed fire sprinkler layouts at the Atrium Ground Floor and the Atrium skylight in conformance with the Elevator Code and 780 CMR 903.2 Exception 4).;; We request that ISD and the Boston Fire Department approve this Amendment to the Building Permit to omit fire sprinklers in the designated elevator area and modify other sprinklers as shown in the attached diagrams.,3/11/13 13:45,9/11/13 0:00,42112.0
